Başlık,Marka,Ürün Modeli,Kullanım Amacı,Renk,Cihaz Ağırlığı,İşlemci Tipi,İşlemci,İşlemci Nesli,İşlemci Çekirdek Sayısı,İşlemci Cache,Temel İşlemci Hızı,Maksimum İşlemci Hızı,Ram (Sistem Belleği),Ram Tipi,Bellek Hızı,SSD Kapasitesi,Harddisk Kapasitesi,Ekran Boyutu,Ekran Panel Tipi,Max Ekran Çözünürlüğü,Ekran Özelliği,Ekran Yenileme Hızı,Ekran Kartı Tipi,Ekran Kartı,Ekran Kartı İşlemcisi,Ekran Kartı Hafızası,Ekran Kartı Bellek Tipi,İşletim Sistemi,Çekilme Zamanı,Fiyat (TRY),Link
"Acer AL16-52P Intel Core i3 1305U 8GB 256GB SSD Freedos 16"" Taşınabilir Bilgisayar NX.J5QEY.001",Acer,Notebook,,Gümüş,2 kg ve Altı,Intel Core i3,1305U,13.Nesil,,Belirtilmemiş,,"1,6 GHz",8 GB,DDR4,4266 MHz,256 GB,256 GB,16 inç,LCD,1920 x 1080,,,Dahili Ekran Kartı,Intel HD Graphics,,Paylaşımlı,Paylaşımlı,Yok (Free Dos),2025-12-02 04:32:33,17.499 TL,https://www.hepsiburada.com/acer-al16-52p-intel-core-i3-1305u-8gb-256gb-ssd-freedos-16-tasinabilir-bilgisayar-nx-j5qey-001-pm-HBC00008A1IR2
"Lenovo Ideapad Slim 5 82XE009TTX 14ABR8 Amd Ryzen™ 7 7730U 16GB 512 SSD Freedos 14"" OLED Ekran Taşınabilir Bilgisayar",Lenovo,Notebook,Ofis ve İş,"Gri, Gri",2 kg ve Altı,AMD Ryzen 7,AMD Ryzen 7,7.Nesil,,16 MB L3 Cache,2 GHz,"4,5 GHz",16 GB,DDR4,3200 MHz,512 GB,Yok,14 inç,OLED,1920 x 1200,OLED,,Dahili Ekran Kartı,AMD Radeon Graphics,AMD Radeon,Paylaşımlı,Paylaşımlı,Yok (Free Dos),2025-12-02 04:32:38,29.999 TL,https://www.hepsiburada.com/lenovo-ideapad-slim-5-14abr8-amd-ryzen-7-7730u-16gb-512-ssd-freedos-14-82xe009ttx-pm-HBC00007DL5CB
"Acer Aspire Lite AL14-31P-34RN Intel Core i3 N300 8GB 512GB SSD Windows 11 Home 14"" Taşınabilir Bilgisayar NX.KS9EY.003",Acer,Notebook,Ev Kullanıcıları - Öğrenci,Gümüş,2 kg ve Altı,Intel Core i3,N3000,Yok,,6 MB Cache,,"3,8 GHz",8 GB,DDR5,4800 MHz,512 GB,Yok,14 inç,IPS,1920 x 1200,WUXGA,,Dahili Ekran Kartı,Paylaşımlı,Intel UHD Graphics,Paylaşımlı,Onboard,Windows 11 Home,2025-12-02 04:32:43,20.499 TL,https://www.hepsiburada.com/acer-aspire-lite-al14-31p-34rn-intel-core-i3-n300-8gb-512gb-ssd-windows-11-home-14-tasinabilir-bilgisayar-nx-ks9ey-003-pm-HBC0000745CGK
"Asus TUF Gaming A15 FA507NVR-LP157 AMD Ryzen 7 7435HS 16GB 512GB SSD RTX4060 Freedos 15.6"" FHD Taşınabilir Bilgisayar",Asus,Oyun Bilgisayarları,,Koyu Gri,2 - 4 kg,AMD Ryzen 7,7435HS,Ryzen,,20 MB Cache,,"4,5 GHz",16 GB,DDR5,4800 MHz,512 GB,Yok,"15,6 inç",FHD,1920 x 1080,,,Harici Ekran Kartı,Nvidia GeForce RTX 4060,,8 GB,GDDR6,Yok (Free Dos),2025-12-02 04:32:47,58.599 TL,https://www.hepsiburada.com/asus-tuf-gaming-a15-fa507nvr-lp157-amd-ryzen-7-7435hs-16gb-512gb-ssd-rtx4060-freedos-15-6-fhd-tasinabilir-bilgisayar-pm-HBC000087JKNC
"Acer Nitro 17 NH.QL1EY.003-32 Ryzen 7-7735HS 32GB 1tb SSD RTX4050-6GB 17.3""fhd 165Hz Freedos Sıvı Metal Soğutmalı Taşınabilir Bilgisayar",Acer,Notebook,Oyun ve Eğlence,Siyah,2 - 4 kg,AMD Ryzen 7,7735HS,7.Nesil,,16 MB L3 Cache,"3,2 GHz","3,2 GHz",32 GB,DDR5,5600 MHz,1 TB,1 TB,"17,3 inç",IPS,1920 x 1080,Full HD,165 Hz,Harici Ekran Kartı,Nvidia GeForce RTX 4050,Nvidia GeForce RTX,6 GB,DDR5,Linux,2025-12-02 04:32:52,"48.794,84 TL",https://www.hepsiburada.com/acer-nitro-17-nh-ql1ey-003-32-ryzen-7-7735hs-32gb-1tb-ssd-rtx4050-8gb-17-3-fhd-165hz-linux-tasinabilir-bilgisayar-pm-HBC00008BNBLI
"Lenovo Ideapad 3 Intel Core I3-1215U 12.nesil 16GB 512GB SSD UHD Graphics Windows 11 Pro 15.6"" Full Hd Dizüstü Bilgisayar 82RK00XBTX-C8",Lenovo,Notebook,,Metalik Gri,1 - 2 kg,Intel Core i3,1215U,12.Nesil,,10 MB Cache,,"4,4 GHz",16 GB,DDR4,2666 MHz,512 GB,Yok,"15,6 inç",LED,1920 x 1080,,,Dahili Ekran Kartı,Intel UHD Graphics,Intel UHD Graphics,Paylaşımlı,Onboard,Windows 11 Pro,2025-12-02 04:32:56,20.999 TL,https://www.hepsiburada.com/lenovo-ideapad-3-intel-core-i3-1215u-12-nesil-16gb-512gb-ssd-uhd-graphics-windows-11-pro-15-6-full-hd-dizustu-bilgisayar-82rk00xbtx-c8-pm-HBC00005DF7CF
"Dell ınspiron 15 3520 Intel Core I5 1235U 15.6"" 16 GB Ram 512 GB SSD 120 Hz Fhd Windows 11 Pro Taşınabilir Bilgisayar I35202009H37",Dell,Notebook,,Siyah,1 - 2 kg,Intel Core i5,Intel Core i5,12.Nesil,,8 MB Cache,,"4,4 GHz",16 GB,DDR4,3200 MHz,512 GB,Yok,"15,6 inç",TN,1920 x 1080,,,Dahili Ekran Kartı,Paylaşımlı,,Paylaşımlı,Onboard,Windows 11 Pro,2025-12-02 04:33:01,26.399 TL,https://www.hepsiburada.com/dell-inspiron-15-3520-intel-core-i5-1235u-15-6-16-gb-ram-512-gb-ssd-120-hz-fhd-windows-11-pro-tasinabilir-bilgisayar-i35202009h37-pm-HBC00005OY758
"HP 15-FB3705NT Victus Amd Ryzen 5-8645HS 16GB 512GB RTX3050 6gb Freedos 15.6"" Fhd IPS 144Hz Gaming Laptop B9KM2EA",HP,Oyun Bilgisayarları,Oyun ve Eğlence,Gri,,AMD Ryzen 5,8645HS,8.Nesil,,16 MB L3 Cache,,5 GHz,,DDR5,,,Yok,"15,6 inç",IPS,1920 x 1080,Full HD,144 Hz,Yüksek Seviye Harici Ekran Kartı,Nvidia GeForce RTX 3050,Nvidia GeForce RTX,6 GB,GDDR6,Yok (Free Dos),2025-12-02 04:33:05,"29.860,45 TL",https://www.hepsiburada.com/hp-15-fb3705nt-victus-amd-ryzen-5-8645hs-16gb-512gb-rtx3050-6gb-freedos-15-6-fhd-ips-144hz-gaming-laptop-b9km2ea-pm-HBC00009JDZYX
"Lenovo V15 R5-7520U 16GB 512GB SSD 15.6"" Fhd WIN11 Dizüstü Bilgisayar 82YU0123TX - Webzone Çanta WZ01",Lenovo,Notebook,,Siyah,2 kg ve Altı,,7520U,7.Nesil,,4 MB Cache,,"4,3 GHz",16 GB,LPDDR5,5500 MHz,512 GB,Yok,"15,6 inç",LED,1920 x 1080,Full HD,,Dahili Ekran Kartı,AMD Radeon Graphics,,Paylaşımlı,Onboard,Windows 11 Home,2025-12-02 04:33:10,22.999 TL,https://www.hepsiburada.com/lenovo-v15-r5-7520u-16gb-512gb-ssd-15-6-fhd-win11-dizustu-bilgisayar-82yu0123tx-webzone-canta-wz01-pm-HBC00007FJ7AR
"MSI THIN A15 B7UC-077XTR AMD Ryzen 5 7535HS 16GB 512GB SSD RTX3050 Freedos 15.6"" FHD 144Hz Taşınabilir Bilgisayar",MSI,Oyun Bilgisayarları,,Gri,2 - 4 kg,,7535HS,7.Nesil,,16 MB Cache,,"4,55 GHz",16 GB,DDR4,3200 MHz,512 GB,Yok,"15,6 inç",TN,1920 x 1080,Full HD,144 Hz,Yüksek Seviye Harici Ekran Kartı,Nvidia GeForce RTX 3050,,4 GB,GDDR6,Yok (Free Dos),2025-12-02 04:33:16,"36.349,03 TL",https://www.hepsiburada.com/msi-thin-a15-b7uc-077xtr-amd-ryzen-5-7535hs-16gb-512gb-ssd-rtx3050-freedos-15-6-fhd-144hz-tasinabilir-bilgisayar-pm-HBC0000676DT0
"MSI THIN A15 B7VE-076XTR AMD Ryzen 5 7535HS 16GB 512GB SSD RTX4050 Freedos 15.6"" FHD 144Hz Taşınabilir Bilgisayar",MSI,Oyun Bilgisayarları,,Koyu Gri,1 - 2 kg,,7535HS,7.Nesil,,16 MB L3 Cache,,"4,55 GHz",16 GB,DDR5,4800 MHz,512 GB,Yok,"15,6 inç",TN,1920 x 1080,,,Yüksek Seviye Harici Ekran Kartı,Nvidia GeForce RTX 4050,,6 GB,GDDR6,Yok (Free Dos),2025-12-02 04:33:21,37.529 TL,https://www.hepsiburada.com/msi-thin-a15-b7ve-076xtr-amd-ryzen-5-7535hs-16gb-512gb-ssd-rtx4050-freedos-15-6-fhd-144hz-tasinabilir-bilgisayar-pm-HBC00005WV6K0
"Apple MacBook Pro M4 Pro 48GB 512GB SSD macOS 16"" Taşınabilir Bilgisayar Gümüş MX2U3TU/A",Apple,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-02 04:33:25,144.999 TL,https://www.hepsiburada.com/apple-macbook-pro-m4-pro-48gb-512gb-ssd-macos-16-tasinabilir-bilgisayar-gumus-mx2u3tu-a-p-HBCV000078IM4D
"Asus Vivobook 15 X1504ZA Intel® Core™ I5-1235U 24GB Ram 1tb SSD Windows 11 Pro 15,6"" Fhd Taşınabilir Bilgisayar",Asus,Notebook,Ev Kullanıcıları - Öğrenci,Gri,1 - 2 kg,Intel Core i5,Intel Core i5,12.Nesil,,10 MB Cache,"1,3 GHz","4,4 GHz",24 GB,DDR4,3200 MHz,1 TB,Yok,"15,6 inç",FHD,1920 x 1080,Full HD,60 Hz,Dahili Ekran Kartı,Intel Iris Xe Graphics,Intel Iris Xe Graphics,Paylaşımlı,Onboard,Windows 11 Pro,2025-12-02 04:33:30,34.599 TL,https://www.hepsiburada.com/asus-vivobook-15-x1504za-intel-core-i5-1235u-24gb-ram-1tb-ssd-windows-11-pro-15-6-fhd-tasinabilir-bilgisayar-pm-HBC00006XIXJ7
"HP Victus Gaming 15 Amd Ryzen 5 8645HS 16GB 512GB SSD RTX4060 Freedos 15.6"" Fhd A05NHEA",HP,Oyun Bilgisayarları,Oyun ve Eğlence,Koyu Mavi,2 - 4 kg,AMD Ryzen 5,8645HS,8.Nesil,6,16 MB L3 Cache,"4,3 GHz",5 GHz,,DDR5,5600 MHz,,Yok,"15,6 inç",IPS,1920 x 1080,Full HD,144 Hz,Yüksek Seviye Harici Ekran Kartı,Nvidia GeForce RTX 4060,Nvidia GeForce RTX,8 GB,GDDR6,Yok (Free Dos),2025-12-02 04:33:35,41.499 TL,https://www.hepsiburada.com/hp-victus-gaming-15-amd-ryzen-5-8645hs-16gb-512gb-ssd-rtx4060-freedos-15-6-fhd-a05nhea-pm-HBC00009QZBK0
"Dell Vostro 3530 Intel® Core™ I5-1334U 16GB Ram 1tb SSD Windows 11 Pro 15,6"" Fhd Taşınabilir Bilgisayar",Dell,Notebook,Ofis ve İş,Siyah,2 kg ve Altı,Intel Core i5,1334U,13.Nesil,,12 MB Cache,"1,3 GHz","4,6 GHz",16 GB,DDR4,3200 MHz,1 TB,Yok,"15,6 inç",FHD,1920 x 1080,Full HD,120 Hz,Dahili Ekran Kartı,Intel Iris Xe Graphics,Intel Iris Xe Graphics,Paylaşımlı,Onboard,Windows 11 Pro,2025-12-02 04:33:40,28.999 TL,https://www.hepsiburada.com/dell-vostro-3530-intel-core-i5-1334u-16gb-ram-1tb-ssd-windows-11-pro-15-6-fhd-tasinabilir-bilgisayar-pm-HBC00007CL1J9
"Apple MacBook Pro M4 Max 36GB 1TB SSD macOS 14"" Taşınabilir Bilgisayar Uzay Siyahı MX2K3TU/A",Apple,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-02 04:33:44,158.599 TL,https://www.hepsiburada.com/apple-macbook-pro-m4-max-36gb-1tb-ssd-macos-14-tasinabilir-bilgisayar-uzay-siyahi-mx2k3tu-a-pm-HBC000078INCQ
"Asus Zenbook 14 UX3405MA-QD379W Intel Core Ultra 7 155H 16GB 1TB SSD Windows 11 Home 14"" OLED Taşınabilir Bilgisayar",Asus,Notebook,,Gri,1 - 2 kg,,155H,Yok,,24 MB Cache,,"4,8 GHz",16 GB,,5800 MHz,1 TB,Yok,14 inç,OLED,1920 x 1200,,60 Hz,Dahili Ekran Kartı,Intel Arc Graphics,,Paylaşımlı,Onboard,Windows 11 Home,2025-12-02 04:33:48,65.999 TL,https://www.hepsiburada.com/asus-zenbook-14-ux3405ma-qd379w-intel-core-ultra-7-155h-16gb-1tb-ssd-windows-11-home-14-oled-tasinabilir-bilgisayar-pm-HBC000069IBYM
Asus Vivobook 15 X1504VA-NJ2379V1 Intel Core I3-1315U 16GB 512GB SSD 15.6 Inç Full Hd 60Hz Freedos Taşınabilir bilgisayar,Asus,Notebook,Ofis ve İş,"Gri, Gümüş",,Intel Core i3,1315U,13.Nesil,6,10 MB Cache,"3,3 GHz","4,5 GHz",,DDR4,Belirtilmemiş,,Yok,"15,6 inç",FHD,1920 x 1080,Full HD,60 Hz,Onboard,Paylaşımlı,Paylaşımlı,Paylaşımlı,Paylaşımlı,FreeDos,2025-12-02 04:33:53,"19.351,99 TL",https://www.hepsiburada.com/asus-vivobook-15-x1504va-nj2379v1-intel-core-i3-1315u-16gb-512gb-ssd-15-6-inc-full-hd-60hz-freedos-tasinabilir-bilgisayar-p-HBCV00009MLD0W
Lenovo LOQ 15IAX9E Intel Core I5 12450HX 16GB 512GB SSD RTX2050 Freedos 15.6'' Fhd Taşınabilir Bilgisayar 83LK008HTR,Lenovo,Oyun Bilgisayarları,Oyun ve Eğlence,Gri,2 - 4 kg,Intel Core i5,12450HX,12.Nesil,8,12 MB Cache,"3,1 GHz","4,4 GHz",,DDR5,4800 MHz,,Yok,"15,6 inç",IPS,1920 x 1080,Full HD,144 Hz,Yüksek Seviye Harici Ekran Kartı,Nvidia GeForce RTX 2050,Nvidia GeForce RTX,4 GB,GDDR6,Yok (Free Dos),2025-12-02 04:33:57,"31.379,71 TL",https://www.hepsiburada.com/lenovo-loq-15iax9e-intel-core-i5-12450hx-16gb-512gb-ssd-rtx2050-freedos-15-6-fhd-tasinabilir-bilgisayar-83lk008htr-pm-HBC000098L0O0
"Casper Nirvana S100 i7-13620H 48GB DDR5 2TB Freedos Laptop 16"" S100.1362-GX00X-G-F",Casper,Notebook,,Gri,2 kg ve Altı,Intel Core i7,13620H,13.Nesil,,24 MB Cache,,"4,9 GHz",,DDR5,4800 MHz,,Yok,16 inç,IPS,1920 x 1200,,,Dahili Ekran Kartı,Intel Graphics,,Paylaşımlı,Onboard,FreeDos,2025-12-02 04:34:02,39.899 TL,https://www.hepsiburada.com/casper-nirvana-s100-i7-13620h-48gb-ddr5-2tb-freedos-laptop-16-s100-1362-gx00x-g-f-pm-HBC0000AA3J4D
"Lenovo Thinkpad E16 Gen 2 Ultra 7 155H 24GB 2tb SSD Windows 11 Pro 16"" Wuxga Dizüstü Bilgisayar 21MA002UTX 019",Lenovo,Notebook,Ofis ve İş,"Siyah, Siyah",2 kg ve Altı,Intel Core Ultra 7,155H,Intel Core Ultra Serisi,,24 MB Cache,"1,4 GHz","4,8 GHz",,DDR5,5600 MHz,,Yok,16 inç,IPS,1920 x 1200,WUXGA,60 Hz,Dahili Ekran Kartı,Intel Arc Graphics,Intel Arc Graphics,Paylaşımlı,Paylaşımlı,Windows 11 Pro,2025-12-02 04:34:07,64.890 TL,https://www.hepsiburada.com/lenovo-thinkpad-e16-gen-2-ultra-7-155h-24gb-2tb-ssd-windows-11-pro-16-wuxga-dizustu-bilgisayar-21ma002utx-019-p-HBCV00007FW3TQ
"Lenovo Thinkpad E16 G2 Ultra 7 155H 24GB 512GB SSD Windows 11 Pro 16"" Wuxga Dizüstü Bilgisayar 21MA002UTX 014",Lenovo,Notebook,Ofis ve İş,"Siyah, Siyah",2 kg ve Altı,Intel Core Ultra 7,155H,Intel Core Ultra Serisi,,24 MB Cache,"1,4 GHz","4,8 GHz",,DDR5,5600 MHz,,Yok,16 inç,IPS,1920 x 1200,WUXGA,60 Hz,Dahili Ekran Kartı,Intel Arc Graphics,Intel Arc Graphics,Paylaşımlı,Paylaşımlı,Windows 11 Pro,2025-12-02 04:34:12,58.490 TL,https://www.hepsiburada.com/lenovo-thinkpad-e16-g2-ultra-7-155h-24gb-512gb-ssd-windows-11-pro-16-wuxga-dizustu-bilgisayar-21ma002utx-014-p-HBCV00007FW3QP
"Lenovo Thinkpad E16 Gen 2 Ultra 7 155H 24GB 4tb SSD Windows 11 Pro 16"" Wuxga Dizüstü Bilgisayar 21MA002UTX 023",Lenovo,Notebook,Ofis ve İş,"Siyah, Siyah",2 kg ve Altı,Intel Core Ultra 7,155H,Intel Core Ultra Serisi,,24 MB Cache,"1,4 GHz","4,8 GHz",,DDR5,5600 MHz,,Yok,16 inç,IPS,1920 x 1200,WUXGA,60 Hz,Dahili Ekran Kartı,Intel Arc Graphics,Intel Arc Graphics,Paylaşımlı,Paylaşımlı,Windows 11 Pro,2025-12-02 04:34:17,73.090 TL,https://www.hepsiburada.com/lenovo-thinkpad-e16-gen-2-ultra-7-155h-24gb-4tb-ssd-windows-11-pro-16-wuxga-dizustu-bilgisayar-21ma002utx-023-p-HBCV00007FINZF
"Lenovo Thinkpad E16 Gen 2 Ultra 7 155H 24GB 1tb SSD Windows 11 Pro 16"" Wuxga Dizüstü Bilgisayar 21MA002UTX 017",Lenovo,Notebook,Ofis ve İş,"Siyah, Siyah",2 kg ve Altı,Intel Core Ultra 7,155H,Intel Core Ultra Serisi,,24 MB Cache,"1,4 GHz","4,8 GHz",,DDR5,5600 MHz,,Yok,16 inç,IPS,1920 x 1200,WUXGA,60 Hz,Dahili Ekran Kartı,Intel Arc Graphics,Intel Arc Graphics,Paylaşımlı,Paylaşımlı,Windows 11 Pro,2025-12-02 04:34:22,59.790 TL,https://www.hepsiburada.com/lenovo-thinkpad-e16-gen-2-ultra-7-155h-24gb-1tb-ssd-windows-11-pro-16-wuxga-dizustu-bilgisayar-21ma002utx-017-p-HBCV00007FW3T9
"Lenovo Thinkpad E16 Gen 2 Ultra 7 155H 32GB 4tb SSD Windows 11 Pro 16"" Wuxga Dizüstü Bilgisayar 21MA002UTX 024",Lenovo,Notebook,Ofis ve İş,"Siyah, Siyah",2 kg ve Altı,Intel Core Ultra 7,155H,Intel Core Ultra Serisi,,24 MB Cache,"1,4 GHz","4,8 GHz",,DDR5,5600 MHz,,Yok,16 inç,IPS,1920 x 1200,WUXGA,60 Hz,Dahili Ekran Kartı,Intel Arc Graphics,Intel Arc Graphics,Paylaşımlı,Paylaşımlı,Windows 11 Pro,2025-12-02 04:34:26,75.190 TL,https://www.hepsiburada.com/lenovo-thinkpad-e16-gen-2-ultra-7-155h-32gb-4tb-ssd-windows-11-pro-16-wuxga-dizustu-bilgisayar-21ma002utx-024-p-HBCV00007FW30X
"Casper Nirvana X650 I5-13420H 32GB DDR5 500GB SSD Freedos 15.6"" Taşınabilir Bilgisayar X650.1342-DV00X-G-F",Casper,Notebook,,"Gri, Gri",2 kg ve Altı,Intel Core i5,13420H,13.Nesil,,12 MB Cache,,"2,1 GHz",,DDR5,4800 MHz,,Yok,"15,6 inç",IPS,1920 x 1080,,,Dahili Ekran Kartı,Intel Graphics,,Paylaşımlı,Paylaşımlı,Yok (Free Dos),2025-12-02 04:34:31,28.099 TL,https://www.hepsiburada.com/casper-nirvana-x650-i5-13420h-32gb-ddr5-500gb-ssd-freedos-15-6-tasinabilir-bilgisayar-x650-1342-dv00x-g-f-pm-HBC00008WFEES
Casper Nirvana C370.4020-4W00B/ Intel Celeron N4020 Işlemci/ Intel UHD Graphics 600 Ekran Kartı/ 15.6 Inc Tn Ekran/ Windows 11/ Dizüstü Bilgisayar,Casper,Notebook,Ev Kullanıcıları - Öğrenci,Gri,2 kg ve Altı,,N4020,12.Nesil,,4 MB Cache,"1,1 GHz","2,6 GHz",4 GB,DDR4,2400 MHz,120 GB,Yok,"15,6 inç",TN,1366 x 768,HD,60 Hz,Dahili Ekran Kartı,Paylaşımlı,Paylaşımlı,Paylaşımlı,DDR4,Windows 11 Home,2025-12-02 04:34:36,13.298 TL,https://www.hepsiburada.com/casper-nirvana-c370-4020-4w00b-intel-celeron-n4020-islemci-intel-uhd-graphics-600-ekran-karti-15-6-inc-tn-ekran-windows-11-dizustu-bilgisayar-p-HBCV00007UCQKP
Lenovo Thinkpad E14 21JK0005TX I5-1335U 16GB 512GB SSD 14 Wuxga Freedos,Lenovo,Notebook,Ofis ve İş,"Siyah, Siyah",1 - 2 kg,Intel Core i5,1335U,13.Nesil,10,12 MB Cache,"1,3 GHz","4,6 GHz",16 GB,DDR4,3200 MHz,512 GB,Yok,14 inç,IPS,1920 x 1200,WUXGA,60 Hz,Dahili Ekran Kartı,Intel Iris Xe Graphics,Intel Iris Xe Graphics,Paylaşımlı,Onboard,Yok (Free Dos),2025-12-02 04:34:41,37.500 TL,https://www.hepsiburada.com/lenovo-thinkpad-e14-21jk0005tx-i5-1335u-16gb-512gb-ssd-14-wuxga-freedos-pm-HBC00005P55SN
"Acer Nitro V15 ANV15-41 AMD Ryzen 7 7735HS 16GB 512GB SSD RTX4050 Windows 11 Home 15.6"" 165Hz Taşınabilir Bilgisayar NH.QPEEY.003",Acer,Oyun Bilgisayarları,,Siyah,2 - 4 kg,AMD Ryzen 7,7735HS,7.Nesil,,16 MB Cache,,"3,2 GHz",,DDR5,4800 MHz,,512 GB,"15,6 inç",FHD,1920 x 1080,,165 Hz,Yüksek Seviye Harici Ekran Kartı,Nvidia GeForce RTX 4050,Nvidia GeForce RTX,6 GB,GDDR6,Windows 11 Home,2025-12-02 04:34:45,37.999 TL,https://www.hepsiburada.com/acer-nitro-v15-anv15-41-amd-ryzen-7-7735hs-16gb-512gb-ssd-rtx4050-windows-11-home-15-6-165hz-tasinabilir-bilgisayar-nh-qpeey-003-pm-HBC00009FJ66L
"Dell Vostro 15 3530 Intel Core I7 1355U 32 GB 1 Tb SSD 15.6"" Fhd Windows 11 Pro Taşınabilir Bilgisayar N1601PVNB3530U W11 O6",Dell,Notebook,Ofis ve İş,Gri,1 - 2 kg,Intel Core i7,1355U,13.Nesil,,12 MB Cache,,5 GHz,32 GB,DDR4,2666 MHz,1 TB,Yok,"15,6 inç",LED,1920 x 1080,Full HD,120 Hz,Dahili Ekran Kartı,Intel Iris Xe Graphics,Intel Iris Xe,Paylaşımlı,Onboard,Windows 11 Pro,2025-12-02 04:34:50,39.599 TL,https://www.hepsiburada.com/dell-vostro-15-3530-intel-core-i7-1355u-32-gb-1-tb-ssd-15-6-fhd-windows-11-pro-tasinabilir-bilgisayar-n1601pvnb3530u-w11-o6-pm-HBC000064SX3E
Dell Vostro 3520 I5 1235U 16 GB 512 SSD N1611PVNB3520UA19 15.6'' W11 Pro Taşınabilir Bilgisayar,Dell,Notebook,,Koyu Gri,1 - 2 kg,Intel Core i5,Intel Core i5,12.Nesil,,12 MB Cache,,"4,4 GHz",16 GB,DDR4,3200 MHz,512 GB,Yok,"15,6 inç",WVA,1920 x 1080,,,Dahili Ekran Kartı,Intel Iris Xe Graphics,,Paylaşımlı,Onboard,Windows 11 Pro,2025-12-02 04:34:54,28.299 TL,https://www.hepsiburada.com/dell-vostro-3520-i5-1235u-16-gb-512-ssd-n1611pvnb3520ua19-15-6-w11-pro-tasinabilir-bilgisayar-pm-HBC00005GN1MK
"Lenovo Yoga Pro 7 Intel Core Ultra 7 155H 16GB 1TB SSD RTX4050 Windows 11 Home 14.5"" Taşınabilir Bilgisayar 83E2002DTR",Lenovo,Notebook,,"Gri, Gri",1 - 2 kg,,155H,7.Nesil,,24 MB Cache,,"4,8 GHz",16 GB,LPDDR5X,7467 MHz,1 TB,Yok,"14,5 inç",OLED,2880 x 1800,,120 Hz,Dahili Ekran Kartı,Nvidia GeForce RTX 4050,Nvidia GeForce RTX,6 GB,GDDR6,Windows 11 Home,2025-12-02 04:34:59,74.990 TL,https://www.hepsiburada.com/lenovo-yoga-pro-7-intel-core-ultra-7-155h-16gb-1tb-ssd-rtx4050-windows-11-home-14-5-tasinabilir-bilgisayar-83e2002dtr-pm-HBC00006NCCI1
"Lenovo LOQ 15IAX9 83GS00Q8TR-04 Intel Core i5-12450HX 24GB DDR5 1TB SSD RTX3050-6GB 95W 15.6"" IPS 144HZ FreeDos Taşınabilir Bilgisayar",Lenovo,Oyun Bilgisayarları,,"Siyah, Siyah",2 kg ve Altı,Intel Core i5,12600H,12.Nesil,,18 MB Cache,,"4,6 GHz",,DDR5,4800 MHz,,Yok,"15,6 inç",IPS,1920 x 1080,,,Harici Ekran Kartı,Nvidia GeForce RTX 3050,,6 GB,GDDR6,Yok (Free Dos),2025-12-02 04:35:03,43.999 TL,https://www.hepsiburada.com/lenovo-loq-15iax9-83gs00q8tr-04-intel-core-i5-12450hx-24gb-ddr5-1tb-ssd-rtx3050-6gb-95w-15-6-ips-144hz-freedos-tasinabilir-bilgisayar-p-HBCV00007ZSXU4
"MSI KATANA 17 B13VGK-1040XTR Intel Core i7 13620H 32GB 1TB SSD RTX4070 Freedos 17.3"" FHD 144Hz Taşınabilir Bilgisayar",MSI,Oyun Bilgisayarları,Oyun ve Eğlence,"Siyah, Siyah",2 - 4 kg,Intel Core i7,Intel Core i7,13.Nesil,,24 MB Cache,"3,6 GHz","4,9 GHz",32 GB,DDR5,5200 MHz,1 TB,Yok,"17,3 inç",IPS,1920 x 1080,Full HD,144 Hz,Yüksek Seviye Harici Ekran Kartı,Nvidia GeForce RTX 4070,Nvidia GeForce RTX,8 GB,GDDR6,Yok (Free Dos),2025-12-02 04:35:08,"87.966,55 TL",https://www.hepsiburada.com/msi-katana-17-b13vgk-1040xtr-intel-core-i7-13620h-32gb-1tb-ssd-rtx4070-freedos-17-3-fhd-144hz-tasinabilir-bilgisayar-pm-HBC00005XI0LH
"Lenovo Ideapad Slim 3 Intel Core i3 N305 8GB 512GB SSD Freedos 15.6"" FHD Taşınabilir Bilgisayar 82XB00B4TX",Lenovo,Notebook,,Gri,1 - 2 kg,Intel Core i3,N305,İntel N Serisi,,6 MB Cache,,"3,8 GHz",8 GB,,4800 MHz,512 GB,Yok,"15,6 inç",TN,1920 x 1080,,,Dahili Ekran Kartı,Onboard,,Paylaşımlı,Onboard,Yok (Free Dos),2025-12-02 04:35:13,"18.068,05 TL",https://www.hepsiburada.com/lenovo-ideapad-slim-3-intel-core-i3-n305-8gb-512gb-ssd-freedos-15-6-fhd-tasinabilir-bilgisayar-82xb00b4tx-pm-HBC000076R0BY
"MSI PRESTIGE 16 AI+ EVO B2VMG-046TR Intel Core Ultra 9 288V 32GB 1TB SSD Windows 11 Home 16"" OLED Taşınabilir Bilgisayar",MSI,Notebook,,"Gri, Gri",2 kg ve Altı,Intel Core Ultra 9,288V,Intel Core Ultra Serisi,,12 MB Cache,1 GHz,"5,1 GHz",32 GB,LPDDR5X,8533 MHz,1 TB,Yok,16 inç,OLED,3840 x 2400,,,Dahili Ekran Kartı,Intel Arc Graphics,,Paylaşımlı,Onboard,Windows 11 Home,2025-12-02 04:35:17,"90.854,09 TL",https://www.hepsiburada.com/msi-prestige-16-ai-evo-b2vmg-046tr-intel-core-ultra-9-288v-32gb-1tb-ssd-windows-11-home-16-oled-tasinabilir-bilgisayar-pm-HBC00007RAXAI
